asv DA_Intercept DA_Fraction_Viable_cells_Active
f18c54e493d5d5ad534b9c3100216416 TRUE TRUE
509fca5a90d0b1dbec313e11c762a7e1 TRUE TRUE
b0a6492dcd2c78db242d7b78618ab9ac FALSE FALSE
fef6fa6624415b309a5ca9ff89d8efa0 FALSE FALSE
2acee427328d2e8641b8738258b15927 TRUE TRUE
75d7c7a1bfc0a32da8b15f370a363073 TRUE FALSE
d2e4b0d730d23797a6056490f9cb549c TRUE FALSE
757d2e39206866545010c4afcc44f748 TRUE TRUE
c3e1345f0d45ef03cb8d2b6475a890b1 FALSE FALSE
051248e3d7e31dfb9ce8de793a97b6f2 TRUE FALSE
704bb18d32079bee8aec56f6eea0e0ce TRUE FALSE
0052997f3114e9a350300fa62719d564 TRUE FALSE
b51aaeefbc2a97bf0db370d41fd7e493 FALSE FALSE
71582281edf705eb59a48c1a50e59a86 TRUE TRUE
ff8123ece2a6aff4b7f2750a928e83ec TRUE TRUE
7d2d1b7d4e351f67f982eff3c2fe17cd TRUE TRUE
8b10efb60e9ddd2cb7fcd09c8fa35166 TRUE TRUE
d68e5db43ed592beada9818c7dad8e6c FALSE FALSE
9a9d60dff4a1cf50f489b3e45e0879b9 FALSE FALSE
9ca5c6b3923a29ddca908fc1a47ffca1 TRUE TRUE
d44ee1c36fcc9b098d56b04791f30386 TRUE FALSE
c639f70ccca7c6dbc19384f369cc38d2 FALSE FALSE
89fe561433ce9c6fcaf90d8deb88271b FALSE FALSE
ef3973c11f25271f8f1f48a5f7d21e39 FALSE FALSE
c09563e31635d061641ff75dc777f7a9 TRUE TRUE
067b8e7fc5a9eeec4a1c1be27c0a853d TRUE FALSE
9b5bebe83b92a72369289b77cdcb0171 FALSE FALSE
56acd54962aaed6383d2cc96c94dce56 TRUE TRUE
801b1df1cbf083d60d4ae99fcef32080 FALSE FALSE
4db23a5f34dc9d4426fed4d6b8555286 TRUE FALSE
ab7891e0f88bc191745db487ec7c6965 FALSE FALSE
dca3e8091dbf363d5a211f80848dd7c2 FALSE FALSE
886e3b609eb490e1bbbc69c1b296245e FALSE FALSE
ff0657f7d2bbcebca1ad6be54e887f24 TRUE FALSE
dd03be4f06e6cdba256a582ce3cb770e FALSE FALSE
77f48eb276896ac721d9660445ccd696 TRUE TRUE
a799adf1c40ad36daa84625bd855e8ee TRUE FALSE
5885af175ec4f654299f2d07d249b932 FALSE FALSE
60d03e4a869bcab5dcad1a09671732d9 TRUE FALSE
90679102b11569080621aff73401835f TRUE FALSE
3585021835f92062e3905fda1086a40f TRUE TRUE
7774b77bbabdd9fdb09f14add8d48a0f TRUE TRUE
9917aad30db606e51788a6b011ce3b73 TRUE FALSE
0b382f07639028ea960c7b5099ce7fd8 FALSE FALSE
e2b0e8123407c0522e65cc247a76628f TRUE FALSE
05e8b422087270ed4fcfaf95cd8b94a9 TRUE TRUE
1b86f9be5bce7a20bcf239e2b9d628b3 TRUE TRUE
8ad25d9768193b89b090ec9114491d2b TRUE TRUE
bd9e32dc89a09a760224cc54299ae80a TRUE FALSE
d0e949748d90852de1e6e0cc35a5551c TRUE FALSE
37061265fc4d03ca3b4b2c887241569c FALSE FALSE
e5b107bda5e461089358a3f44462f6fb FALSE FALSE
6c178cce4595cdbd601c6a678885170e TRUE TRUE
3e37cbf592eed8db558988be92d6cc49 FALSE FALSE
d44941abf249d26879031652f08ac1bb FALSE FALSE
78e5ccc389e44b75d744c3a58289d336 FALSE FALSE
42944b63b57b078269d79c0c3a403454 TRUE FALSE
9b13fa4948cd7bcb56dd1d90bd988fe1 FALSE FALSE
66646c0a0310584ae1c3c72a818dfc57 FALSE FALSE
ccde375b6b026cb8fd505e80c20098ec TRUE FALSE
d3c2200563032dd40cc2d16559bc21c4 FALSE FALSE
6a3b81ace6a9a68bc16486f410c773e4 TRUE TRUE
26247a18506b8b2385fcb6460cac1500 TRUE TRUE
f65682676bf983a13ae61071e3baeff2 TRUE FALSE
239a527610549a988dabae430f3e08db TRUE FALSE
27b59a42d3cd77fb4d56c2d130fe3634 TRUE FALSE
ac04a69869da1097e8f92cba52ea312e TRUE FALSE
e0a2b1150a6c0137d9423fdb736dc5ce FALSE FALSE
97c750ac5f4fe9f454e9880f7706940e FALSE FALSE
c1d35969bf604849c6e2adec680d8ef8 FALSE FALSE
cf7a93f201b1d86d761150a8db411345 TRUE FALSE
aa21628e6c517a6999c416e1fb0702c2 TRUE FALSE
f6a7e105657a2c8e57f686ad1f5366f4 TRUE TRUE
1f27eb8ef93c63e4fbd63838b308e92e FALSE FALSE
d00bdb7a37402d864b086dd2a0e7d12d TRUE TRUE
1c36b399b20da765eff7c2fb569c4dcb FALSE FALSE
9f9aec9e6ea1a095f866295f88499642 TRUE TRUE
b7f4d8028482a2f1898705b967bcbfb7 FALSE FALSE
be4ef67fd3f88d320fb0916219687e94 FALSE FALSE
86aaf880dcae99a9d0580e89d7b43f59 FALSE FALSE
909024be9f39b0709db7328526f950b2 FALSE FALSE
6cada2f9db1e861004c9e71ae776527d FALSE FALSE
47a7328f54b6d17e1d6a2f25ea90f568 TRUE FALSE
222dcdfe27212c880cc39f637029b355 FALSE FALSE
6308ee83d74810e8123a63a8acbaa79a FALSE FALSE
8bb807f4f8d34064553036042ca40fb3 FALSE FALSE
f03d8472c2555bd6e70a237210efc9e2 FALSE FALSE
5cc0160eb98ed7d43d80d5cc27eb7c68 FALSE FALSE
bee818fd61abd18b54ee1c1e33f8ea51 FALSE FALSE
adb1c0dfcae0a07f1a029ea88814de83 FALSE FALSE
c75e6a63579c2b9c5bdaa83e0488f560 FALSE FALSE
da9e01bab91db45708b18683225df107 FALSE FALSE
97c062a4f480d7e7376f9fb634e67983 FALSE FALSE
216919f7dc9cdadf13a17073629d2f9e TRUE FALSE
beefd21e4e85459af287208ec400cce7 FALSE FALSE
260a3adf777e0ca018bb700d28195d9a TRUE FALSE
bafe930c8f8019dddab868bddc51f640 TRUE TRUE
0d71b96e50601a992fe02713138be238 FALSE FALSE
3f1d9d29797a2d68fec94185f3d1cab0 TRUE FALSE
