# Constructed from biom file
#OTU ID	BEADS_S67	C10B-DNA_S4	C10E-POS_S60	C10N-POS_S65	C10N-SYBR_S26	C10R-DNA_S12	C10R-POS_S30	C10R-SYBR_S20	C1E-POS_S31	C1E-SYBR_S21	C1N-POS_S61	C1N-SYBR_S13	C1R-DNA_S8	C1R-POS_S27	C1R-SYBR_S16	C2B-DNA_S1	C2E-POS_S32	C2E-SYBR_S22	C2N-POS_S62	C2N-SYBR_S15	C2R-DNA_S10	C2R-POS_S28	C2R-SYBR_S17	C5B-DNA_S2	C5E-POS_S33	C5E-SYBR_S23	C5N-POS_S63	C5R-DNA_S11	C5R-POS_S29	C5R-SYBR_S18	C7B-DNA_S3	C7E-POS_S34	C7E-SYBR_S24	C7N-POS_S64	C7N-SYBR_S25	C7R-DNA_S14	C7R-SYBR_S19	CTL_S66	S10-DNA_S9	S2-DNA_S5	S3-DNA_S6	S8-DNA_S7
f18c54e493d5d5ad534b9c3100216416	5775.0	127.0	47890.0	111273.0	139581.0	575.0	4433.0	1430.0	40808.0	62828.0	61466.0	126909.0	4306.0	4643.0	7465.0	667.0	39774.0	71991.0	101846.0	94531.0	1483.0	4139.0	4542.0	831.0	59627.0	84599.0	89334.0	1373.0	4303.0	3760.0	599.0	84974.0	158316.0	70884.0	99691.0	3800.0	5765.0	943.0	140.0	0.0	80.0	76.0
afb244d96b70a4c948b205f7f7eea5c5	842.0	436.0	32675.0	4751.0	815.0	4.0	438.0	65.0	32839.0	19453.0	17905.0	3029.0	8.0	0.0	104.0	546.0	44603.0	18382.0	15584.0	369.0	9.0	169.0	92.0	288.0	44131.0	21450.0	25235.0	16.0	37.0	0.0	341.0	42032.0	2959.0	17809.0	456.0	0.0	41.0	259.0	36.0	0.0	28.0	30.0
509fca5a90d0b1dbec313e11c762a7e1	800.0	0.0	6962.0	15522.0	19537.0	0.0	637.0	179.0	5730.0	8553.0	8807.0	17541.0	557.0	665.0	1046.0	0.0	5672.0	9797.0	14923.0	13285.0	0.0	610.0	624.0	0.0	8394.0	11758.0	12675.0	249.0	625.0	565.0	0.0	12362.0	21396.0	10228.0	14496.0	531.0	854.0	0.0	0.0	0.0	0.0	0.0
b0a6492dcd2c78db242d7b78618ab9ac	483.0	266.0	13979.0	4812.0	685.0	0.0	18.0	0.0	21432.0	18096.0	8977.0	2829.0	0.0	0.0	32.0	356.0	17672.0	11505.0	11039.0	380.0	0.0	80.0	10.0	268.0	22545.0	12831.0	19966.0	0.0	38.0	0.0	249.0	24974.0	1355.0	13140.0	225.0	0.0	33.0	189.0	0.0	0.0	7.0	0.0
fef6fa6624415b309a5ca9ff89d8efa0	37.0	66.0	8156.0	0.0	78.0	0.0	174.0	0.0	2578.0	4336.0	6126.0	22797.0	0.0	69.0	53.0	54.0	3720.0	3361.0	12.0	0.0	20.0	0.0	16.0	148.0	56.0	19.0	57.0	0.0	21.0	0.0	54.0	473.0	594.0	20.0	7656.0	0.0	234.0	109.0	69.0	0.0	57.0	60.0
9bf55fb48ef29780111f9e54dd204793	0.0	0.0	4299.0	702.0	0.0	0.0	0.0	0.0	4390.0	2469.0	2300.0	403.0	0.0	0.0	0.0	0.0	5823.0	2320.0	2143.0	0.0	0.0	0.0	0.0	0.0	5681.0	2765.0	3380.0	0.0	0.0	0.0	0.0	5241.0	364.0	2308.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7ec25e775b3bd74f487ce2fe077f44a5	0.0	0.0	1165.0	2845.0	3200.0	0.0	0.0	0.0	974.0	1537.0	1601.0	3097.0	0.0	0.0	0.0	0.0	936.0	1777.0	2631.0	2297.0	0.0	0.0	0.0	0.0	1448.0	2102.0	2318.0	0.0	0.0	0.0	0.0	2011.0	3999.0	1819.0	2371.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2acee427328d2e8641b8738258b15927	10621.0	0.0	63.0	223.0	2138.0	0.0	3346.0	715.0	437.0	703.0	18.0	1361.0	0.0	1951.0	1321.0	0.0	337.0	129.0	0.0	1234.0	0.0	1753.0	3922.0	0.0	433.0	330.0	38.0	0.0	1902.0	610.0	0.0	75.0	384.0	0.0	3027.0	0.0	503.0	0.0	0.0	0.0	0.0	0.0
41b2f74ae32e410cadcbd8e3a3325667	0.0	0.0	2025.0	669.0	81.0	6.0	0.0	0.0	3104.0	2394.0	1237.0	429.0	0.0	0.0	0.0	0.0	2554.0	1635.0	1573.0	0.0	0.0	0.0	0.0	0.0	3175.0	1807.0	2809.0	0.0	0.0	0.0	0.0	3604.0	183.0	1855.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
75d7c7a1bfc0a32da8b15f370a363073	785.0	0.0	0.0	0.0	0.0	38.0	56.0	1278.0	0.0	0.0	0.0	0.0	19.0	752.0	5288.0	0.0	0.0	0.0	0.0	0.0	51.0	150.0	5563.0	31.0	0.0	0.0	0.0	0.0	2635.0	1552.0	0.0	0.0	0.0	0.0	0.0	31.0	1335.0	0.0	0.0	0.0	17.0	0.0
d2e4b0d730d23797a6056490f9cb549c	58.0	276.0	0.0	0.0	0.0	307.0	134.0	998.0	0.0	0.0	0.0	0.0	524.0	446.0	2043.0	186.0	0.0	0.0	0.0	0.0	654.0	613.0	1552.0	188.0	0.0	0.0	0.0	358.0	395.0	1209.0	273.0	7.0	0.0	0.0	0.0	420.0	1373.0	152.0	279.0	194.0	235.0	174.0
23002cb8e5fafc85d6165bcecee1d22d	0.0	0.0	0.0	1120.0	1238.0	0.0	0.0	0.0	0.0	0.0	678.0	1230.0	0.0	0.0	0.0	0.0	0.0	694.0	1028.0	852.0	0.0	0.0	0.0	0.0	0.0	829.0	874.0	0.0	0.0	0.0	0.0	825.0	1554.0	733.0	885.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
757d2e39206866545010c4afcc44f748	170.0	342.0	0.0	0.0	0.0	910.0	391.0	296.0	0.0	0.0	0.0	0.0	505.0	757.0	91.0	174.0	0.0	0.0	0.0	0.0	1018.0	620.0	460.0	256.0	0.0	0.0	0.0	896.0	775.0	378.0	376.0	0.0	0.0	0.0	0.0	968.0	370.0	192.0	414.0	365.0	248.0	286.0
c3e1345f0d45ef03cb8d2b6475a890b1	475.0	112.0	0.0	0.0	0.0	664.0	403.0	152.0	173.0	0.0	0.0	0.0	794.0	0.0	93.0	123.0	0.0	0.0	0.0	0.0	2391.0	109.0	339.0	153.0	7.0	5.0	0.0	1159.0	203.0	178.0	157.0	0.0	0.0	0.0	0.0	913.0	125.0	265.0	362.0	337.0	459.0	307.0
