SampleID	Fraction	BONCAT	REP	Plant
BEADS_S67	ctl	ctl	1	NOPLANT
C10B.DNA_S4	Bulk	DNA	1	Clover
C10E.POS_S60	Endo	POS	1	Clover
C10N.POS_S65	Nod	POS	1	Clover
C10N.SYBR_S26	Nod	SYBR	1	Clover
C10R.DNA_S12	Rhizo	DNA	1	Clover
C10R.POS_S30	Rhizo	POS	1	Clover
C10R.SYBR_S20	Rhizo	SYBR	1	Clover
C1E.POS_S31	Endo	POS	2	Clover
C1E.SYBR_S21	Endo	SYBR	2	Clover
C1N.POS_S61	Nod	POS	2	Clover
C1N.SYBR_S13	Nod	SYBR	2	Clover
C1R.DNA_S8	Rhizo	DNA	2	Clover
C1R.POS_S27	Rhizo	POS	2	Clover
C1R.SYBR_S16	Rhizo	SYBR	2	Clover
C2B.DNA_S1	Bulk	DNA	3	Clover
C2E.POS_S32	Endo	POS	3	Clover
C2E.SYBR_S22	Endo	SYBR	3	Clover
C2N.POS_S62	Nod	POS	3	Clover
C2N.SYBR_S15	Nod	SYBR	3	Clover
C2R.DNA_S10	Rhizo	DNA	3	Clover
C2R.POS_S28	Rhizo	POS	3	Clover
C2R.SYBR_S17	Rhizo	SYBR	3	Clover
C5B.DNA_S2	Bulk	DNA	4	Clover
C5E.POS_S33	Endo	POS	4	Clover
C5E.SYBR_S23	Endo	SYBR	4	Clover
C5N.POS_S63	Nod	POS	4	Clover
C5R.DNA_S11	Rhizo	DNA	4	Clover
C5R.POS_S29	Rhizo	POS	4	Clover
C5R.SYBR_S18	Rhizo	SYBR	4	Clover
C7B.DNA_S3	Bulk	DNA	5	Clover
C7E.POS_S34	Endo	POS	5	Clover
C7E.SYBR_S24	Endo	SYBR	5	Clover
C7N.POS_S64	Nod	POS	5	Clover
C7N.SYBR_S25	Nod	SYBR	5	Clover
C7R.DNA_S14	Rhizo	DNA	5	Clover
C7R.SYBR_S19	Rhizo	SYBR	5	Clover
CTL_S66	ctl	ctl	1	NOPLANT
S10.DNA_S9	Bulk	DNA	1	Soil
S2.DNA_S5	Bulk	DNA	2	Soil
S3.DNA_S6	Bulk	DNA	3	Soil
S8.DNA_S7	Bulk	DNA	4	Soil
