Feature_ID	Domain	Phyla	Class	Order	Family	Genus	Species	Confidence
f18c54e493d5d5ad534b9c3100216416	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales_A_501058	 f__Rhizobiaceae_A_501058	 g__Rhizobium_A_501058		0.999443998
afb244d96b70a4c948b205f7f7eea5c5	d__Bacteria							0.998978083
509fca5a90d0b1dbec313e11c762a7e1	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales_A_501058	 f__Rhizobiaceae_A_501058	 g__Rhizobium_A_501058		0.999179194
b0a6492dcd2c78db242d7b78618ab9ac	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Marinilabiliaceae	 g__JC017	 s__JC017 sp004296775	0.999982521
fef6fa6624415b309a5ca9ff89d8efa0	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales_A_501059	 f__Rhizobiaceae_A_501059	 g__Sinorhizobium	 s__Sinorhizobium meliloti	0.916998991
9bf55fb48ef29780111f9e54dd204793	d__Bacteria							0.998831153
2acee427328d2e8641b8738258b15927	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Pseudomonadales_650611	 f__Pseudomonadaceae	 g__Pseudomonas_E_647464		0.999731887
7ec25e775b3bd74f487ce2fe077f44a5	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales_A_501058	 f__Rhizobiaceae_A_501058	 g__Rhizobium_A_501058		0.999199981
41b2f74ae32e410cadcbd8e3a3325667	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Marinilabiliaceae	 g__JC017	 s__JC017 sp004296775	0.999986798
75d7c7a1bfc0a32da8b15f370a363073	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales_592524	 f__Burkholderiaceae_A_580492			0.999999895
d2e4b0d730d23797a6056490f9cb549c	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae	 g__Sphingomicrobium_483265		0.999920081
757d2e39206866545010c4afcc44f748	d__Bacteria	 p__Actinobacteriota	 c__Actinomycetia	 o__Actinomycetales	 f__Micrococcaceae			0.999999998
5f01860b92d040a8292068587b14e691	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Marinilabiliaceae	 g__JC017	 s__JC017 sp004296775	0.999708231
c3e1345f0d45ef03cb8d2b6475a890b1	d__Archaea	 p__Thermoproteota	 c__Nitrososphaeria_A	 o__Nitrososphaerales	 f__Nitrososphaeraceae	 g__Nitrosocosmicus	 s__Nitrosocosmicus hydrocola	0.987704628
23002cb8e5fafc85d6165bcecee1d22d	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales_A_501058	 f__Rhizobiaceae_A_501058	 g__Rhizobium_A_501058		0.999197178
704bb18d32079bee8aec56f6eea0e0ce	d__Bacteria	 p__Acidobacteriota	 c__Vicinamibacteria	 o__Vicinamibacterales	 f__	 g__	 s__	0.999994966
b51aaeefbc2a97bf0db370d41fd7e493	d__Archaea	 p__Thermoproteota	 c__Nitrososphaeria_A	 o__Nitrososphaerales	 f__Nitrososphaeraceae			0.999999975
051248e3d7e31dfb9ce8de793a97b6f2	d__Bacteria	 p__Acidobacteriota	 c__Vicinamibacteria	 o__Vicinamibacterales	 f__SCN-69-37	 g__SCN-69-37	 s__	0.998158472
0052997f3114e9a350300fa62719d564	d__Bacteria	 p__Acidobacteriota	 c__Blastocatellia	 o__Pyrinomonadales	 f__Pyrinomonadaceae_433871	 g__PSRF01		0.9615157
71582281edf705eb59a48c1a50e59a86	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales_A_502138	 f__Devosiaceae	 g__Devosia_A_501803		0.998724295
ff8123ece2a6aff4b7f2750a928e83ec	d__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia_401430	 o__Acidimicrobiales	 f__AC-14	 g__AC-14	 s__AC-14 sp005888325	0.999657831
7d2d1b7d4e351f67f982eff3c2fe17cd	d__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Chthoniobacterales	 f__Chthoniobacteraceae	 g__VFJQ01	 s__VFJQ01 sp009885995	0.999959089
8b10efb60e9ddd2cb7fcd09c8fa35166	d__Bacteria	 p__Actinobacteriota	 c__Thermoleophilia	 o__Solirubrobacterales	 f__Solirubrobacteraceae_405336	 g__F1-60-MAGs163		0.920459692
d68e5db43ed592beada9818c7dad8e6c	d__Bacteria	 p__Acidobacteriota	 c__Thermoanaerobaculia	 o__UBA5066	 f__	 g__	 s__	0.999999525
9a9d60dff4a1cf50f489b3e45e0879b9	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales_597439	 f__Usitatibacteraceae	 g__Usitatibacter	 s__	0.72636201
9ca5c6b3923a29ddca908fc1a47ffca1	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Xanthomonadales_616009	 f__Xanthomonadaceae_616009	 g__Arenimonas_613591	 s__Arenimonas oryziterrae	0.999724812
cea9f9b4d859245912c935c9e6fec237	d__Bacteria	 p__Chloroflexota	 c__Limnocylindria	 o__Limnocylindrales	 f__CSP1-4	 g__GWC2-73-18	 s__	0.999566114
c639f70ccca7c6dbc19384f369cc38d2	d__Bacteria	 p__Chloroflexota	 c__Anaerolineae	 o__UBA4142	 f__UBA4142	 g__UBA4142	 s__UBA4142 sp002400365	0.887515795
d44ee1c36fcc9b098d56b04791f30386	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Pseudomonadales_650611	 f__Pseudomonadaceae	 g__Pseudomonas_E_647464		0.999540188
89fe561433ce9c6fcaf90d8deb88271b	d__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Chthoniobacterales	 f__Chthoniobacteraceae	 g__	 s__	0.982970415
ef3973c11f25271f8f1f48a5f7d21e39	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Marinilabiliaceae	 g__JC017	 s__JC017 sp004296775	0.999957991
c09563e31635d061641ff75dc777f7a9	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales_A_504705	 f__Xanthobacteraceae_503485	 g__Bradyrhizobium		0.900312888
067b8e7fc5a9eeec4a1c1be27c0a853d	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Xanthomonadales_616009	 f__Xanthomonadaceae_616009			0.999999999
9b5bebe83b92a72369289b77cdcb0171	d__Bacteria	 p__Acidobacteriota	 c__Blastocatellia	 o__Pyrinomonadales	 f__Pyrinomonadaceae_433871	 g__UBA11740	 s__UBA11740 sp003168335	0.998556059
f996f848d7af99bbd16d51a76bb8da09	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Marinilabiliaceae	 g__JC017	 s__JC017 sp004296775	0.999988376
56acd54962aaed6383d2cc96c94dce56	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales_A_501058	 f__Rhizobiaceae_A_501058	 g__Rhizobium_A_501058		0.992198475
ebd259593663dc49ae6ba8ad84b89b8c	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Marinilabiliaceae	 g__JC017	 s__JC017 sp004296775	0.999989871
801b1df1cbf083d60d4ae99fcef32080	d__Bacteria	 p__Patescibacteria	 c__Saccharimonadia	 o__UBA4664	 f__SCTI01	 g__SCTI01	 s__SCTI01 sp004297735	0.976394887
ab7891e0f88bc191745db487ec7c6965	d__Bacteria	 p__Actinobacteriota	 c__Actinomycetia	 o__Actinomycetales	 f__Micrococcaceae	 g__Paenarthrobacter		0.996353861
de5a98434464ead1fdea70c7a297a2d5	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Marinilabiliaceae	 g__JC017	 s__JC017 sp004296775	0.999782619
4db23a5f34dc9d4426fed4d6b8555286	d__Bacteria	 p__Actinobacteriota	 c__Actinomycetia	 o__Actinomycetales	 f__Dermatophilaceae_390796	 g__Terrabacter		0.997950992
dca3e8091dbf363d5a211f80848dd7c2	d__Bacteria	 p__Acidobacteriota	 c__Thermoanaerobaculia	 o__UBA5066	 f__	 g__	 s__	0.999999852
886e3b609eb490e1bbbc69c1b296245e	d__Archaea	 p__Thermoproteota	 c__Nitrososphaeria_A	 o__Nitrososphaerales	 f__Nitrososphaeraceae	 g__TA-21	 s__TA-21 sp005877075	0.999791109
ff0657f7d2bbcebca1ad6be54e887f24	d__Bacteria	 p__Acidobacteriota	 c__Blastocatellia	 o__Pyrinomonadales	 f__Pyrinomonadaceae_426821	 g__OLB17_426821	 s__OLB17 sp001567505	0.994744374
