,Slice,Count,Total.Area,Average.Size,X.Area,Mean,Plant,Number,Fraction
1,A17_1.jpg,747,31.329,0.042,1.945,152.721,A17,1,Nod
2,A17_10.jpg,564,11.628,0.021,0.727,158.81,A17,10,Nod
3,A17_9.jpg,640,7.728,0.012,0.609,132.986,A17,9,Nod
4,CLO_2 (2).jpg,655,1.322,0.002,0.64,131.751,CLO,2,Nod
5,CLO_6 (2).jpg,429,1.772,0.004,0.879,136.017,CLO,6,Nod
6,CLO_7.jpg,948,4.339,0.005,2.153,102.396,CLO,7,Nod
7,CLO_8 (2).jpg,630,1.715,0.003,0.851,153.483,CLO,8,Nod
8,CLO_9.jpg,746,2.012,0.003,0.998,135.584,CLO,9,Nod
9,PEA_10.jpg,141,6.868,0.049,2.604,101.875,PEA,10,Nod
10,PEA_3.jpg,162,6.556,0.04,3.254,138.851,PEA,3,Nod
11,PEA_4.jpg,432,7.818,0.018,3.88,126.107,PEA,4,Nod
12,PEA_5.jpg,288,5.37,0.019,2.131,75.627,PEA,5,Nod
13,PEA_6.jpg,175,6.182,0.035,1.606,122.392,PEA,6,Nod
14,PEA_7.jpg,217,5.33,0.025,2.91,139.404,PEA,7,Nod
15,PEA_8 (2).jpg,321,9.158,0.029,3.472,144.942,PEA,8,Nod
16,A17_1.jpg,1034,3.214,0.003,2.187,146.295,A17,1,Nod
