sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
BEADS_S67	92886	83622	90.03	81862	76857	82.74	73252	78.86
C10B-DNA_S4	82320	64243	78.04	56009	41319	50.19	40925	49.71
C10E-POS_S60	147464	135918	92.17	135539	130286	88.35	120986	82.04
C10N-POS_S65	159315	149904	94.09	149696	144236	90.54	142173	89.24
C10N-SYBR_S26	188796	176777	93.63	176570	170116	90.11	168992	89.51
C10R-DNA_S12	112015	102312	91.34	88337	61770	55.14	59018	52.69
C10R-POS_S30	101997	93528	91.7	91104	86105	84.42	83173	81.54
C10R-SYBR_S20	78509	72129	91.87	66592	52386	66.73	49124	62.57
C1E-POS_S31	145971	133480	91.44	132973	127742	87.51	118972	81.5
C1E-SYBR_S21	157198	145464	92.54	145051	139542	88.77	126418	80.42
C1N-POS_S61	153712	144074	93.73	143609	137770	89.63	111475	72.52
C1N-SYBR_S13	234920	220165	93.72	219708	210140	89.45	182799	77.81
C1R-DNA_S8	101059	90917	89.96	77987	57009	56.41	51043	50.51
C1R-POS_S27	105336	96620	91.73	93164	84658	80.37	80528	76.45
C1R-SYBR_S16	121003	111888	92.47	106812	93789	77.51	85247	70.45
C2B-DNA_S1	103445	73829	71.37	65082	47606	46.02	46994	45.43
C2E-POS_S32	154251	140536	91.11	140257	134903	87.46	125546	81.39
C2E-SYBR_S22	154515	142782	92.41	142013	136431	88.3	122761	79.45
C2N-POS_S62	173557	162565	93.67	162328	156152	89.97	152082	87.63
C2N-SYBR_S15	125690	118515	94.29	118275	113984	90.69	113376	90.2
C2R-DNA_S10	114438	102218	89.32	89727	67240	58.76	62741	54.83
C2R-POS_S28	91265	84377	92.45	80656	71307	78.13	67226	73.66
C2R-SYBR_S17	126308	117032	92.66	111034	95070	75.27	86601	68.56
C5B-DNA_S2	109593	80807	73.73	74400	59935	54.69	59237	54.05
C5E-POS_S33	175034	160462	91.67	160123	154150	88.07	149154	85.21
C5E-SYBR_S23	161291	148602	92.13	148387	142850	88.57	139701	86.61
C5N-POS_S63	188756	175514	92.98	175238	169056	89.56	157892	83.65
C5R-DNA_S11	103825	94645	91.16	85935	69330	66.78	66740	64.28
C5R-POS_S29	88102	81612	92.63	77803	67456	76.57	61383	69.67
C5R-SYBR_S18	103848	96414	92.84	89986	74968	72.19	68325	65.79
C7B-DNA_S3	90895	75465	83.02	66951	50417	55.47	49971	54.98
C7E-POS_S34	227295	207866	91.45	207352	198923	87.52	186362	81.99
C7E-SYBR_S24	217885	205387	94.26	205008	197447	90.62	194288	89.17
C7N-POS_S64	138863	129490	93.25	128847	124048	89.33	119192	85.83
C7N-SYBR_S25	153058	143966	94.06	143790	138251	90.33	129676	84.72
C7R-DNA_S14	123393	113154	91.7	99811	72501	58.76	67166	54.43
C7R-SYBR_S19	95994	88462	92.15	83073	68477	71.33	61959	64.54
CTL_S66	104767	79726	76.1	76209	65425	62.45	63975	61.06
S10-DNA_S9	107278	88473	82.47	79508	60460	56.36	59821	55.76
S2-DNA_S5	80802	72480	89.7	64758	48735	60.31	48253	59.72
S3-DNA_S6	92770	74539	80.35	66133	49794	53.67	49314	53.16
S8-DNA_S7	83071	75359	90.72	67633	50597	60.91	50155	60.38
